Customer_ID,Recency_Days,Frequency_90D,Monetary_90D,Avg_Basket,Discount_Ratio,Return_Ratio,Web_Visits_30D,App_Sessions_30D,Review_Score,Region
30082,82,2,80775,27322,0.1,0.05,7,2,3.8,Metro
30083,18,11,379834,45384,0.4,0.12,7,11,3.9,Metro
30084,18,7,209482,39122,0.62,0.04,22,21,4.6,Seoul
30085,3,21,1441551,55635,0.25,0.04,8,44,5.0,Metro
30086,9,12,907022,61506,0.21,0.03,20,49,4.5,Seoul
30087,22,6,227244,33102,0.23,0.1,7,16,3.8,Metro
30088,80,2,63865,35212,0.11,0.02,7,1,3.5,Other
30089,19,8,277631,37329,0.56,0.15,23,19,5.0,Other
30090,15,6,296930,53841,0.35,0.03,16,17,4.4,Metro
30091,19,11,371929,40021,0.8,0.05,8,14,3.9,Other
30092,43,6,166661,40394,0.34,0.19,8,4,4.3,Other
30093,88,3,37206,36012,0.33,0.29,6,1,3.6,Metro
30094,26,36,3964222,33176,1.0,0.2,74,8,2.3,Other
30095,15,5,256016,54786,0.85,0.07,18,17,4.6,Other
30096,38,4,124647,40040,0.43,0.1,1,11,4.1,Metro
30097,121,1,21575,33234,0.28,0.09,4,6,4.1,Metro
30098,13,18,1364217,63102,0.19,0.13,26,30,4.5,Metro
30099,7,13,480463,57134,0.19,0.05,15,43,4.6,Seoul
30100,8,5,237167,55567,0.61,0.68,8,11,3.4,Other
30101,6,6,330328,47560,0.39,0.51,29,22,3.9,Metro
30102,39,0,4104,47068,0.39,0.05,13,14,4.4,Seoul
30103,12,10,473155,46322,0.97,0.23,16,17,4.3,Metro
30104,19,4,326535,68047,0.25,0.46,9,6,3.7,Other
30105,10,10,252058,28554,0.11,0.14,10,19,4.3,Metro
30106,29,8,239416,54394,0.2,0.07,20,4,4.0,Other
30107,69,5,177930,41459,0.38,0.03,8,5,3.9,Metro
30108,12,10,279395,41442,0.78,0.12,24,25,4.5,Seoul
30109,11,18,770167,48484,0.06,0.07,25,41,5.0,Seoul
30110,30,7,412936,43531,0.62,0.44,10,9,2.8,Seoul
30111,94,2,91388,38336,0.42,0.16,11,4,3.4,Seoul
30112,11,9,359697,50712,0.81,0.07,17,19,4.2,Seoul
30113,11,10,406903,43319,0.92,0.07,21,19,3.7,Seoul
30114,34,9,211343,34159,0.23,0.36,12,11,3.8,Seoul
30115,1,9,353785,30534,0.82,0.08,16,12,4.2,Metro
30116,13,7,415175,59283,0.44,0.3,18,15,4.2,Metro
30117,11,9,621955,53138,0.41,0.21,11,7,4.1,Metro
30118,13,2,62881,33906,0.4,0.02,9,7,4.1,Seoul
30119,111,1,48828,45798,0.43,0.13,0,2,4.3,Metro
30120,7,6,287027,46000,0.13,0.03,15,8,4.2,Seoul
30121,38,7,395829,34396,0.31,0.12,6,12,4.2,Metro
30122,36,9,325329,33159,0.5,0.13,18,9,4.0,Metro
30123,8,19,1460499,56562,0.1,0.02,24,34,4.6,Seoul
30124,89,2,119802,46429,0.21,0.18,0,1,4.3,Seoul
30125,13,16,889047,64657,0.2,0.08,13,46,4.8,Metro
30126,74,3,87751,40669,0.31,0.11,2,3,4.5,Metro
30127,5,7,428264,53648,0.85,0.15,15,25,4.5,Other
30128,3,26,1938044,59239,0.03,0.05,23,34,4.9,Metro
30129,7,22,1643620,60986,0.45,0.09,18,39,4.9,Seoul
30130,21,7,73371,20519,0.21,0.16,10,12,4.5,Metro
30131,13,5,212236,40905,0.6,0.07,22,13,4.8,Other
30132,14,6,215247,44153,0.13,0.26,23,16,3.3,Metro
30133,24,7,389533,48709,0.42,0.06,4,7,4.1,Metro
30134,0,9,235738,26208,0.9,0.06,23,16,4.5,Seoul
30135,17,7,267818,38891,0.4,0.06,15,16,4.3,Metro
30136,10,21,1014397,51300,0.1,0.05,24,25,4.9,Seoul
30137,34,10,375197,38248,0.28,0.43,6,13,3.8,Metro
30138,65,3,75066,44120,0.11,0.05,5,2,3.5,Metro
30139,53,2,102236,50065,0.2,0.03,11,12,3.9,Metro
30140,6,19,713075,53381,0.04,0.09,26,25,5.0,Metro
30141,77,2,56485,46989,0.17,0.1,5,4,5.0,Metro
30142,52,2,65500,42299,0.11,0.06,6,3,4.0,Metro
30143,37,13,638748,57574,0.42,0.58,13,5,3.7,Other
30144,20,5,144701,45029,0.25,0.11,6,1,4.0,Other
30145,93,2,87573,40222,0.32,0.06,6,5,3.5,Metro
30146,0,13,369807,30803,0.83,0.08,12,26,4.8,Metro
30147,12,12,702035,49894,0.83,0.16,24,23,4.3,Other
30148,19,5,182214,32043,0.18,0.1,14,13,4.4,Metro
30149,103,3,74205,41274,0.29,0.16,6,3,5.0,Seoul
30150,12,23,1228869,54050,0.01,0.02,24,44,4.8,Metro
30151,23,8,129098,50569,0.35,0.25,10,2,3.7,Seoul
30152,9,7,308405,47673,0.27,0.2,16,7,4.7,Metro
30153,5,10,848217,54589,0.07,0.03,22,39,4.6,Other
30154,28,10,342121,38684,0.05,0.04,11,10,4.4,Seoul
30155,15,21,1281752,64344,0.12,0.16,24,34,4.7,Seoul
30156,42,7,305896,51776,0.37,0.04,14,7,4.2,Seoul
30157,13,8,255265,30916,0.83,0.11,13,13,4.2,Seoul
30158,23,5,214700,40566,0.15,0.06,11,13,4.4,Seoul
30159,35,9,226039,35925,0.26,0.15,4,20,3.7,Other
30160,1,3,135244,41284,0.26,0.09,16,0,4.3,Seoul
30161,15,12,410284,36223,0.14,0.07,15,50,4.6,Other
30162,26,5,242114,38516,0.27,0.38,10,13,3.3,Metro
30163,12,8,490140,51445,0.73,0.16,6,12,4.5,Seoul
30164,8,14,683650,55244,0.37,0.12,22,50,5.0,Seoul
30165,14,5,360960,39673,0.5,0.14,8,7,3.5,Metro
30166,67,3,165990,50893,0.29,0.1,10,0,4.3,Metro
30167,26,4,82873,29644,0.72,0.06,2,11,4.6,Metro
30168,3,3,67758,19271,0.28,0.09,10,9,3.8,Other
30169,0,8,221980,42567,0.68,0.24,18,17,4.3,Seoul
30170,14,6,282862,45896,0.12,0.55,14,23,3.5,Other
30171,25,8,284741,46997,0.71,0.18,21,15,4.7,Other
30172,29,3,196691,57822,0.33,0.11,9,0,4.5,Seoul
30173,4,10,398474,40202,0.54,0.12,10,9,4.0,Metro
30174,4,14,325864,24098,0.25,0.55,8,11,3.4,Seoul
30175,8,12,582908,45664,0.87,0.11,8,13,4.7,Metro
30176,9,18,1332083,54364,0.25,0.02,17,39,4.6,Metro
30177,66,1,35858,38901,0.33,0.07,3,3,4.0,Other
30178,20,2,35285,57036,0.23,0.52,26,9,3.6,Other
30179,21,4,242467,53191,0.48,0.07,16,16,3.8,Metro
30180,29,6,321339,56303,0.55,0.1,9,11,4.2,Metro
30181,22,5,262077,51118,0.5,0.12,11,14,4.2,Metro
30182,23,7,274604,39275,0.34,0.05,15,13,4.2,Other
30183,0,7,325460,41416,0.31,0.08,12,9,4.4,Seoul
30184,57,23,1786035,146533,0.88,0.37,5,49,1.4,Seoul
30185,12,0,6995,37456,0.33,0.03,17,4,3.8,Metro
30186,31,6,403557,47870,0.3,0.1,17,10,3.5,Other
30187,54,2,72678,43832,0.41,0.08,9,4,4.1,Seoul
30188,12,21,969020,44028,0.11,0.06,28,23,4.8,Metro
30189,8,4,158910,47256,0.14,0.03,7,3,3.9,Metro
30190,23,7,159872,41730,0.87,0.07,15,23,4.5,Seoul
30191,25,12,329773,52092,0.2,0.37,9,12,4.1,Metro
30192,17,11,356936,34542,0.67,0.16,25,23,4.7,Other
30193,2,11,670092,60374,0.07,0.08,26,34,4.4,Seoul
30194,13,2,78988,39914,0.61,0.19,14,15,4.6,Metro
30195,11,11,441983,44510,0.62,0.06,18,26,4.2,Metro
30196,10,8,233991,29281,0.82,0.21,22,20,4.2,Other
30197,20,7,296057,46943,0.56,0.11,20,16,4.0,Seoul
30198,21,6,399329,53441,0.07,0.04,8,12,3.9,Metro
30199,15,6,372576,48521,0.78,0.1,19,15,4.5,Metro
30200,5,10,479636,43379,0.82,0.21,26,24,4.2,Other
30201,34,6,166440,42974,0.24,0.12,6,9,4.9,Other
30202,23,9,472032,43137,0.32,0.21,18,11,4.4,Metro
30203,28,8,320239,32527,0.55,0.12,15,15,3.8,Metro
30204,2,14,949064,49204,0.04,0.03,26,28,4.7,Other
30205,12,16,1039159,52144,0.16,0.04,32,36,4.6,Seoul
30206,153,1,506381,145647,0.22,0.41,53,15,4.6,Seoul
30207,8,15,975341,69790,0.1,0.02,20,28,4.8,Seoul
30208,17,4,218378,47109,0.28,0.09,8,16,4.6,Metro
30209,6,19,1047521,63080,0.14,0.06,19,25,4.8,Metro
30210,4,4,146334,31993,0.51,0.19,22,13,3.8,Metro
30211,62,6,213104,35720,0.49,0.01,10,17,3.8,Metro
30212,25,5,210334,45486,0.11,0.17,7,17,4.5,Metro
30213,10,10,291880,23682,0.67,0.09,18,10,4.5,Metro
30214,36,13,516671,48568,0.21,0.06,9,18,4.5,Other
30215,0,6,220628,43858,0.45,0.11,19,17,3.9,Metro
30216,21,6,98803,33883,0.21,0.12,6,0,3.4,Other
30217,7,30,2360458,59596,0.24,0.07,20,17,5.0,Seoul
30218,0,18,1132155,58046,0.06,0.04,12,36,5.0,Other
30219,34,2,88134,43471,0.44,0.23,5,25,3.8,Seoul
30220,84,2,64196,32590,0.55,0.05,12,4,4.5,Other
30221,18,7,283388,34120,0.92,0.2,10,17,4.4,Metro
30222,75,4,208565,50007,0.54,0.16,2,2,4.0,Metro
30223,20,4,242274,68066,0.09,0.07,10,12,4.1,Seoul
30224,41,5,252698,47815,0.41,0.57,13,17,2.5,Metro
30225,17,9,328849,38460,0.87,0.06,22,20,4.5,Metro
30226,29,13,1325229,63484,0.12,0.38,22,0,3.1,Other
30227,6,13,553962,53683,0.11,0.06,13,17,4.7,Metro
30228,19,3,109356,38304,0.31,0.1,11,11,4.1,Seoul
30229,34,2,82115,47095,0.07,0.07,0,14,5.0,Other
30230,4,11,570718,70995,0.02,0.03,26,32,4.5,Other
30231,11,15,791544,61417,0.13,0.09,14,41,4.5,Seoul
30232,46,2,96345,41596,0.45,0.06,0,2,3.0,Other
30233,19,8,298827,40881,0.17,0.28,15,20,3.6,Seoul
30234,22,5,156220,37742,0.31,0.13,10,2,3.7,Metro
30235,12,5,279416,48176,0.24,0.47,22,9,4.2,Other
30236,20,5,199573,34541,0.13,0.06,11,4,4.1,Other
30237,133,6,334140,35237,0.61,0.05,7,2,3.9,Metro
30238,25,9,359571,43468,0.52,0.12,8,19,4.2,Seoul
30239,11,12,511053,49004,0.13,0.04,16,29,4.8,Metro
30240,9,18,540677,43799,0.12,0.04,21,26,4.7,Seoul
30241,25,5,109748,39020,0.6,0.12,16,13,4.2,Metro
30242,10,5,212439,43857,0.28,0.18,16,12,3.9,Other
30243,10,6,163283,46716,0.82,0.11,24,13,4.6,Seoul
30244,37,6,285418,37097,0.59,0.06,13,7,4.0,Metro
30245,18,6,298250,44212,0.5,0.15,6,5,4.1,Seoul
30246,24,8,229714,36247,0.64,0.07,7,6,4.3,Other
30247,43,9,306640,52688,0.36,0.08,17,6,4.6,Metro
30248,39,2,61074,37439,0.24,0.06,8,0,4.3,Metro
30249,46,0,17030,36253,0.25,0.06,6,3,3.9,Other
30250,94,3,97697,38040,0.54,0.15,0,5,3.4,Seoul
30251,60,6,329011,45681,0.43,0.02,24,13,4.3,Seoul
30252,31,3,153399,41871,0.2,0.18,17,12,4.0,Seoul
30253,88,4,170778,39678,0.2,0.19,1,2,3.9,Metro
30254,0,9,294819,35400,0.83,0.24,22,12,4.4,Metro
30255,12,11,690126,59836,0.73,0.13,17,15,4.3,Metro
30256,4,5,174633,42852,0.22,0.06,14,6,4.6,Seoul
30257,22,6,196465,39607,0.46,0.05,7,15,4.3,Seoul
30258,9,18,933080,59535,0.28,0.08,20,34,4.8,Seoul
30259,1,14,707092,54553,0.07,0.05,27,28,4.6,Other
30260,46,2,105294,44074,0.17,0.05,12,0,4.3,Metro
30261,9,24,1050807,43568,0.19,0.11,22,36,5.0,Metro
30262,22,5,343966,56479,0.37,0.02,5,0,3.9,Metro
30263,4,7,319478,40157,0.88,0.18,11,20,4.6,Seoul
30264,10,13,1097601,58429,0.06,0.06,17,27,4.4,Seoul
30265,10,4,142559,33571,0.47,0.48,13,13,4.3,Other
30266,15,0,0,34888,0.71,0.09,18,17,4.5,Metro
30267,12,10,318495,40692,0.84,0.13,15,34,4.5,Other
30268,10,7,309840,35343,0.7,0.14,23,17,4.6,Other
30269,12,16,858570,52848,0.15,0.05,28,34,4.6,Other
30270,15,19,1172488,59245,0.02,0.02,26,32,4.5,Seoul
30271,0,20,1376606,58534,0.2,0.03,14,35,4.7,Seoul
30272,5,7,284420,33710,0.75,0.07,16,23,4.4,Metro
30273,5,21,1113943,50134,0.38,0.08,24,48,4.9,Metro
30274,35,2,69274,37859,0.41,0.11,15,14,4.7,Metro
30275,50,34,3780793,18380,0.97,0.75,74,64,1.9,Metro
30276,61,3,113198,36426,0.3,0.03,4,1,4.3,Metro
30277,22,7,341810,49077,0.86,0.14,16,9,4.3,Seoul
30278,17,3,56116,36092,0.52,0.12,6,0,4.5,Metro
30279,48,5,81009,20663,0.37,0.25,10,8,4.0,Metro
30280,30,5,205543,48516,0.5,0.07,14,19,3.9,Metro
30281,4,18,1255495,60063,0.07,0.05,18,37,4.6,Metro
30282,11,10,548656,45593,0.63,0.16,29,22,4.2,Other
30283,30,8,369262,45613,0.92,0.03,22,15,4.4,Other
30284,14,12,686277,50937,0.71,0.18,23,18,4.5,Other
30285,25,3,95890,52705,0.34,0.22,13,2,3.6,Metro
30286,59,3,66091,25296,0.09,0.09,7,5,4.5,Metro
30287,8,20,1191645,51017,0.08,0.06,18,39,4.7,Seoul
30288,84,2,56186,52195,0.11,0.06,5,6,3.3,Other
30289,23,6,371768,46921,0.26,0.11,12,15,4.2,Seoul
30290,7,13,773084,51537,0.04,0.07,33,30,4.8,Metro
30291,11,3,118642,64012,0.39,0.06,14,8,3.8,Other
30292,6,20,1650334,50742,0.19,0.05,23,37,4.6,Seoul
30293,29,2,114991,53864,0.45,0.51,18,18,4.2,Metro
30294,11,20,1611178,64048,0.14,0.09,21,33,4.8,Seoul
30295,16,9,306384,39762,0.31,0.06,7,15,3.8,Seoul
30296,13,8,503329,55967,0.36,0.52,15,21,3.3,Seoul
30297,13,10,259900,37292,0.28,0.6,8,14,3.5,Other
30298,13,9,487808,34940,0.22,0.21,7,16,4.5,Seoul
30299,52,9,373054,53655,0.53,0.14,8,12,4.4,Other
30300,37,6,331278,54214,0.32,0.05,5,6,3.8,Metro
30301,13,7,473602,52883,0.21,0.12,12,5,3.1,Seoul
30302,3,22,1027991,52755,0.11,0.02,23,35,4.8,Metro
30303,47,5,172049,33273,0.45,0.12,5,8,3.7,Seoul
30304,41,7,286301,36710,0.48,0.02,13,2,5.0,Other
30305,17,10,231669,28216,0.41,0.04,4,14,4.2,Other
30306,58,22,4031981,59645,0.03,0.41,66,16,4.1,Seoul
30307,61,0,0,40170,0.32,0.15,7,1,3.9,Seoul
30308,31,3,158092,60757,0.42,0.14,16,0,3.9,Other
30309,16,12,527110,45407,0.81,0.06,15,28,4.6,Other
30310,3,9,722439,65980,0.2,0.03,27,40,4.5,Metro
30311,95,4,104686,37616,0.25,0.11,9,3,3.6,Metro
30312,86,2,64197,45264,0.38,0.09,3,4,3.6,Metro
30313,14,8,295722,34528,0.9,0.26,12,16,4.4,Seoul
30314,102,4,114620,38386,0.22,0.13,6,2,3.8,Metro
30315,74,2,52686,35513,0.32,0.33,10,0,4.3,Seoul
30316,16,7,246456,46961,0.85,0.24,23,10,4.5,Other
30317,91,2,70340,36024,0.34,0.09,4,5,3.5,Seoul
30318,17,7,142516,34718,0.31,0.04,13,17,4.5,Metro
30319,22,9,350318,34114,0.71,0.04,25,11,4.1,Metro
30320,13,9,253471,42166,0.21,0.48,21,12,4.1,Metro
30321,21,7,355980,56724,0.59,0.54,9,10,2.4,Seoul
30322,70,4,158672,48010,0.18,0.05,4,3,3.3,Seoul
30323,22,9,231561,38654,0.73,0.03,12,19,4.3,Other
30324,37,1,45420,32141,0.55,0.02,4,6,3.9,Other
30325,31,5,218303,42062,0.32,0.05,14,9,3.8,Other
30326,20,6,367392,44056,0.31,0.06,11,7,4.3,Seoul
30327,10,7,278286,48996,0.3,0.01,18,18,4.2,Seoul
30328,24,7,405591,41828,0.2,0.29,11,13,3.7,Seoul
30329,31,9,411762,36886,0.23,0.1,4,15,4.1,Metro
30330,2,4,170680,41680,0.62,0.04,15,19,4.6,Other
30331,41,2,73096,39438,0.4,0.07,10,7,3.8,Seoul
30332,20,15,520761,40970,0.49,0.11,13,18,4.1,Metro
30333,33,8,300851,37568,0.37,0.16,11,14,4.3,Other
30334,36,10,577165,55542,0.25,0.17,9,14,4.1,Seoul
30335,3,12,806932,69268,0.11,0.02,18,31,4.6,Seoul
30336,16,5,135869,42943,0.49,0.02,15,10,4.6,Seoul
30337,6,19,1126311,49090,0.21,0.18,19,32,4.8,Metro
30338,1,5,206762,48713,0.19,0.32,17,11,3.7,Seoul
30339,2,5,140772,31632,0.1,0.05,26,31,5.0,Metro
30340,11,8,425368,47026,0.23,0.4,17,12,3.3,Metro
30341,7,18,1000006,63356,0.32,0.04,13,31,5.0,Seoul
30342,33,6,279148,31794,0.21,0.22,13,23,4.4,Metro
30343,5,6,204442,41117,0.33,0.08,14,12,4.3,Seoul
30344,22,6,140681,26558,0.3,0.1,7,11,3.9,Other
30345,16,5,302328,57787,0.28,0.1,14,14,4.5,Metro
30346,24,10,456281,48224,0.52,0.07,12,6,3.3,Other
30347,5,9,539615,54911,0.22,0.4,16,3,3.8,Seoul
30348,17,11,336170,29462,0.92,0.04,20,10,4.4,Seoul
30349,34,12,471250,46490,0.36,0.11,8,0,4.7,Metro
30350,6,20,1236322,52264,0.04,0.06,28,36,5.0,Seoul
30351,33,5,91119,23917,0.42,0.3,19,6,4.6,Other
30352,14,8,203575,35227,0.76,0.07,23,30,4.4,Seoul
30353,0,12,274075,41748,0.5,0.13,12,7,4.3,Metro
30354,56,5,358240,56882,0.72,0.15,8,11,4.8,Metro
30355,86,4,108588,39619,0.45,0.09,6,6,3.5,Metro
30356,30,8,433458,54661,0.16,0.04,11,10,4.0,Metro
30357,28,3,174357,41041,0.1,0.18,13,7,4.8,Metro
30358,23,4,196480,53974,0.42,0.12,20,1,4.5,Seoul
30359,82,4,120362,37719,0.4,0.01,3,3,3.1,Other
30360,22,5,294616,57132,0.19,0.03,15,7,4.1,Metro
30361,32,2,77926,41662,0.16,0.47,14,11,3.6,Seoul
30362,4,14,855485,48071,0.11,0.04,12,32,4.8,Seoul
30363,10,14,862108,50290,0.17,0.1,21,47,4.6,Seoul
30364,7,12,768660,51681,0.23,0.03,12,56,4.7,Metro
30365,38,8,312804,41609,0.39,0.03,9,12,4.8,Seoul
30366,92,0,5928,34516,0.17,0.14,3,6,3.9,Seoul
30367,13,7,324366,54862,0.32,0.01,15,16,4.3,Seoul
30368,29,2,108797,54458,0.27,0.05,13,6,4.1,Seoul
30369,26,3,115522,41842,0.83,0.11,16,27,4.4,Other
30370,43,3,124398,50550,0.29,0.01,4,10,4.5,Other
30371,27,2,107005,51421,0.24,0.01,5,9,4.1,Seoul
30372,26,8,326635,37725,0.76,0.07,16,19,4.6,Other
30373,85,1,25724,35436,0.46,0.12,5,3,4.0,Seoul
30374,20,7,397372,49884,0.87,0.06,8,9,4.5,Seoul
30375,10,9,526478,51082,0.91,0.14,13,28,4.0,Seoul
30376,11,14,1068625,65378,0.08,0.06,16,30,4.7,Seoul
30377,9,3,99090,35235,0.43,0.54,26,16,3.7,Seoul
30378,37,3,138316,46645,0.15,0.04,5,2,4.4,Seoul
30379,62,2,12977,30669,0.43,0.29,8,2,3.4,Seoul
30380,31,7,321220,35141,0.62,0.05,8,5,3.8,Other
30381,8,6,422219,50064,0.27,0.07,7,14,4.3,Seoul
30382,5,5,290117,51272,0.47,0.52,18,25,4.6,Metro
30383,35,6,366501,41870,0.18,0.06,7,12,4.3,Other
30384,77,3,170916,43358,0.25,0.13,3,7,4.0,Seoul
30385,84,3,123741,43653,0.4,0.03,6,3,4.1,Other
30386,22,3,147560,65760,0.29,0.68,12,23,3.8,Other
30387,29,6,156410,34862,0.39,0.07,14,23,4.2,Seoul
30388,24,12,611689,46048,0.4,0.39,13,14,4.1,Other
30389,6,14,895781,56279,0.15,0.02,30,37,4.6,Metro
30390,24,4,302307,56686,0.08,0.15,17,4,4.2,Metro
30391,34,6,275139,41939,0.36,0.04,6,9,4.0,Other
30392,7,13,865388,65269,0.07,0.07,28,43,4.8,Seoul
30393,11,10,443087,45110,0.18,0.24,11,10,3.9,Other
30394,47,7,269358,44268,0.46,0.11,18,6,4.6,Seoul
30395,5,13,971324,58954,0.22,0.06,29,33,4.8,Seoul
30396,91,3,109289,39725,0.36,0.12,10,6,3.1,Metro
30397,60,3,80684,28991,0.31,0.03,16,16,4.3,Seoul
30398,6,3,61688,34157,0.83,0.09,26,25,4.6,Metro
30399,86,1,34618,36481,0.24,0.13,10,2,4.0,Seoul
30400,61,4,89994,26144,0.49,0.1,6,0,4.0,Seoul
30401,19,8,209012,42418,0.91,0.13,20,19,4.2,Metro
30402,20,6,114874,43362,0.19,0.37,14,17,4.1,Other
30403,18,5,93397,40339,0.17,0.04,10,8,4.2,Seoul
30404,7,15,1022421,52526,0.08,0.02,13,27,4.5,Seoul
30405,20,7,136366,30413,0.2,0.42,12,18,5.0,Metro
30406,39,4,251953,49963,0.41,0.29,10,7,3.6,Seoul
30407,24,8,311196,53079,0.88,0.09,23,25,4.0,Metro
30408,23,8,335681,43129,0.45,0.1,20,14,4.5,Seoul
30409,10,15,838680,51877,0.15,0.05,16,49,4.9,Other
30410,22,10,344110,33056,0.32,0.35,6,10,3.6,Seoul
30411,10,3,116283,39824,0.35,0.06,19,5,3.9,Other
30412,41,6,395868,46002,0.41,0.05,20,11,4.0,Other
30413,5,23,1504974,59493,0.09,0.09,24,40,4.3,Seoul
30414,174,32,2963720,57195,0.98,0.34,19,92,3.4,Metro
30415,9,14,1259356,61563,0.09,0.03,26,38,4.7,Other
30416,0,8,254856,41060,0.52,0.14,16,15,4.6,Other
