title,Drama,Comedy,Thriller,Action,Romance,Adventure,Crime,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,History,Music,War,Documentary,Western,Foreign,TV Movie
Spider-Man 2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Iron Man 3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
X-Men: The Last Stand,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Monsters University,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Transformers: Revenge of the Fallen,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Age of Extinction,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oz: The Great and Powerful,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man 2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TRON: Legacy,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cars 2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Green Lantern,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Terminator Salvation,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Furious 7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World War Z,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
X-Men: Days of Future Past,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Star Trek Into Darkness,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jack the Giant Slayer,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Great Gatsby,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Persia: The Sands of Time,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pacific Rim,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Dark of the Moon,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Good Dinosaur,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Brave,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Star Trek Beyond,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WALL·E,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Rush Hour 3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Christmas Carol,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jupiter Ascending,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Legend of Tarzan,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
X-Men: Apocalypse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Up,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Monsters vs Aliens,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Iron Man,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hugo,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wild Wild West,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Mummy: Tomb of the Dragon Emperor,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Suicide Squad,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Evan Almighty,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Edge of Tomorrow,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Waterworld,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.I. Joe: The Rise of Cobra,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Inside Out,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Jungle Book,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Iron Man 2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Snow White and the Huntsman,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Maleficent,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dawn of the Planet of the Apes,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Lovers,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47 Ronin,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Shrek Forever After,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Tomorrowland,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Big Hero 6,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Wreck-It Ralph,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Polar Express,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Independence Day: Resurgence,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Terminator 3: Rise of the Machines,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Interstellar,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Inception,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Shin Godzilla,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: An Unexpected Journey,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Fast and the Furious,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Curious Case of Benjamin Button,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
X-Men: First Class,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Sorcerer's Apprentice,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Poseidon,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Through the Looking Glass,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shrek the Third,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Warcraft,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Terminator Genisys,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Pearl Harbor,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Transformers,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Harry Potter and the Order of the Phoenix,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I Am Legend,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Charlie and the Chocolate Factory,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ratatouille,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Batman Begins,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar: Escape 2 Africa,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Night at the Museum: Battle of the Smithsonian,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
X-Men Origins: Wolverine,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Matrix Revolutions,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frozen,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Matrix Reloaded,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thor: The Dark World,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mad Max: Fury Road,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Angels & Demons,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Thor,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bolt,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
G-Force,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Wrath of the Titans,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Shadows,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mission: Impossible - Rogue Nation,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wolfman,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bee Movie,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Kung Fu Panda 2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Last Airbender,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mission: Impossible III,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White House Down,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mars Needs Moms,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Flushed Away,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Pan,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mr. Peabody & Sherman,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Troy,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Madagascar 3: Europe's Most Wanted,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Die Another Day,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghostbusters,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Armageddon,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black II,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Beowulf,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kung Fu Panda 3,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Mission: Impossible - Ghost Protocol,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rise of the Guardians,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Fun with Dick and Jane,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Samurai,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Exodus: Gods and Kings,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
How to Train Your Dragon 2,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Gods of Egypt,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stealth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watchmen,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Lethal Weapon 4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hulk,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G.I. Joe: Retaliation,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sahara,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Final Fantasy: The Spirits Within,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Captain America: The First Avenger,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The World Is Not Enough,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master and Commander: The Far Side of the World,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Twilight Saga: Breaking Dawn - Part 2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Happy Feet Two,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Incredible Hulk,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The BFG,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Revenant,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Turbo,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Rango,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Penguins of Madagascar,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Bourne Ultimatum,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kung Fu Panda,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ant-Man,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Catching Fire,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Home,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
War of the Worlds,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bad Boys II,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Puss in Boots,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Salt,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Noah,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Adventures of Tintin,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Harry Potter and the Prisoner of Azkaban,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After Earth,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dinosaur,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Night at the Museum: Secret of the Tomb,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Megamind,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Harry Potter and the Philosopher's Stone,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
R.I.P.D.,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Da Vinci Code,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rio 2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
X2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fast Five,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock Holmes: A Game of Shadows,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Clash of the Titans,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Total Recall,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The 13th Warrior,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Bourne Legacy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batman & Robin,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
How the Grinch Stole Christmas,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Day After Tomorrow,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible II,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Perfect Storm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic 4: Rise of the Silver Surfer,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Life of Pi,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost Rider,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Jason Bourne,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie's Angels: Full Throttle,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prometheus,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Stuart Little 2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Elysium,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Riddick,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RoboCop,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Speed Racer,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
How Do You Know,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knight and Day,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oblivion,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Star Wars: Episode III - Revenge of the Sith,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode II - Attack of the Clones,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Monsters, Inc.",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Wolverine,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Star Wars: Episode I - The Phantom Menace,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Croods,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Asterix at the Olympic Games,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Windtalkers,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Huntsman: Winter's War,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Gravity,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dante's Peak,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles: Out of the Shadows,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fantastic Four,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Night at the Museum,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
San Andreas,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomorrow Never Dies,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Patriot,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Ocean's Twelve,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. & Mrs. Smith,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insurgent,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Aviator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulliver's Travels,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Green Hornet,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300: Rise of an Empire,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Smurfs,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Home on the Range,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Allegiant,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Real Steel,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Smurfs 2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Speed 2: Cruise Control,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ender's Game,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Live Free or Die Hard,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Around the World in 80 Days,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cat in the Hat,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"I, Robot",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kingdom of Heaven,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Stuart Little,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
The Princess and the Frog,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
The Martian,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Island,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Town & Country,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gone in Sixty Seconds,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gladiator,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority Report,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
