Customer_ID,Age,Tenure_Months,Monthly_Fee,Total_Usage_GB,Support_Tickets_3M,Late_Payments_6M,Contract,AutoPay,Internet_Type,Has_Addon,NPS_Score,Region,Churn
22816,22,2,62844,513,0,1,1-year,0,5G,0,62,Metro,0
22717,40,14,52271,283,0,0,Month-to-month,1,5G,1,-7,Seoul,1
25364,62,55,81304,255,0,1,Month-to-month,1,DSL,1,-1,Other,0
22930,51,5,60029,209,0,0,Month-to-month,1,Fiber,0,38,Seoul,0
23363,20,5,85302,285,0,0,1-year,1,5G,1,-31,Seoul,1
25166,21,8,82218,286,0,0,2-year,0,DSL,0,36,Other,0
21076,26,30,55068,323,1,0,1-year,1,5G,0,-64,Metro,0
26399,47,18,75469,293,2,0,Month-to-month,0,DSL,0,75,Metro,0
24982,67,8,69999,494,1,1,Month-to-month,0,Fiber,1,47,Metro,1
26229,18,23,69579,558,1,0,2-year,0,Fiber,0,55,Other,0
22922,58,19,73667,534,4,1,1-year,0,5G,0,-43,Metro,0
24020,53,12,87911,212,0,0,Month-to-month,0,Fiber,1,-2,Other,0
24332,32,19,86946,168,0,0,Month-to-month,0,DSL,0,53,Other,0
27000,62,16,55768,329,3,0,Month-to-month,0,5G,0,56,Seoul,0
21323,46,12,63545,264,0,0,1-year,1,5G,1,6,Other,0
27732,34,44,64539,364,0,1,2-year,1,DSL,1,60,Seoul,0
22253,30,50,43504,506,1,0,Month-to-month,0,Fiber,0,-19,Metro,0
26655,22,5,57259,248,1,0,1-year,1,DSL,0,13,Metro,1
27245,55,28,73392,269,0,0,Month-to-month,0,Fiber,0,-68,Other,1
20867,60,11,71131,339,2,0,Month-to-month,1,DSL,0,58,Seoul,0
25592,48,28,89107,305,1,0,2-year,0,Fiber,0,-3,Seoul,0
22466,28,32,82816,33,1,0,1-year,1,Fiber,0,76,Other,0
20466,68,28,84249,509,2,1,Month-to-month,1,DSL,1,29,Metro,1
22883,47,14,73759,418,1,0,Month-to-month,0,5G,0,4,Seoul,1
24962,44,42,56389,247,0,1,2-year,1,5G,0,31,Other,0
27043,49,3,54161,375,0,1,Month-to-month,1,Fiber,1,61,Metro,0
26241,51,18,79785,290,1,0,2-year,1,Fiber,1,44,Metro,0
25448,39,17,69388,267,0,0,Month-to-month,0,5G,1,27,Metro,0
21503,29,7,66303,369,1,2,1-year,0,Fiber,1,21,Other,1
23916,22,10,84633,357,0,0,Month-to-month,1,Fiber,1,36,Metro,0
23263,56,11,76556,228,1,2,1-year,1,Fiber,0,19,Seoul,0
20264,66,16,50550,633,0,0,2-year,1,Fiber,0,92,Metro,0
23807,23,10,65389,670,0,0,1-year,0,Fiber,1,1,Other,0
24085,44,9,66030,347,0,0,Month-to-month,1,Fiber,0,56,Other,0
27840,40,8,67192,220,1,2,1-year,0,Fiber,1,-8,Seoul,1
21812,51,23,78201,467,0,1,1-year,0,DSL,1,33,Metro,1
21145,35,20,96988,395,2,0,Month-to-month,1,Fiber,1,63,Metro,1
25828,53,7,62282,515,1,1,Month-to-month,1,Fiber,1,4,Seoul,0
22150,62,31,74544,496,1,1,Month-to-month,0,Fiber,1,47,Other,1
23930,56,6,54667,447,3,0,Month-to-month,1,Fiber,0,30,Metro,0
26320,34,11,57619,384,0,0,1-year,0,Fiber,1,38,Seoul,0
23291,38,50,67732,417,0,0,2-year,0,5G,0,-2,Metro,0
20683,67,4,67335,483,1,1,Month-to-month,0,DSL,1,25,Seoul,1
22841,40,20,63875,228,0,0,1-year,0,Fiber,0,23,Metro,0
21003,47,25,68757,272,1,3,Month-to-month,1,5G,1,45,Metro,0
26756,65,42,71884,339,0,0,1-year,0,Fiber,0,39,Seoul,0
25130,49,31,58087,537,0,1,Month-to-month,0,DSL,1,-25,Metro,0
24291,21,11,81913,30,0,2,1-year,1,Fiber,1,100,Other,1
22174,57,24,65150,309,0,0,2-year,0,5G,0,23,Metro,0
20484,59,3,51807,420,1,0,2-year,1,DSL,0,12,Metro,0
23814,41,18,69329,500,0,0,Month-to-month,1,5G,1,62,Seoul,0
24415,43,10,72293,518,0,1,Month-to-month,0,Fiber,0,67,Other,1
20519,42,51,59874,198,1,0,Month-to-month,0,5G,0,-51,Seoul,1
26989,37,58,91315,344,0,0,Month-to-month,1,DSL,1,3,Seoul,0
21346,69,29,88551,319,0,1,1-year,1,DSL,0,11,Metro,0
20697,55,7,90474,555,1,2,Month-to-month,1,Fiber,0,66,Metro,1
21010,45,48,58974,334,0,0,1-year,1,Fiber,1,96,Seoul,0
26318,65,1,96193,580,0,2,1-year,1,DSL,0,7,Metro,0
26596,43,10,55532,354,1,1,2-year,1,5G,0,-21,Other,0
22771,52,12,76150,478,2,1,2-year,0,Fiber,1,18,Metro,0
21075,42,31,86414,338,0,0,1-year,1,5G,1,25,Metro,0
21340,39,2,64561,374,2,0,Month-to-month,1,Fiber,1,19,Metro,0
22987,56,11,71571,312,2,0,Month-to-month,1,DSL,1,28,Seoul,0
27710,49,13,68047,566,0,1,Month-to-month,0,5G,0,55,Other,0
26748,26,22,83350,209,2,4,Month-to-month,0,Fiber,1,-19,Other,1
24422,69,11,66484,320,0,0,Month-to-month,1,5G,1,21,Metro,0
23393,59,15,81565,361,1,0,1-year,0,5G,0,27,Metro,0
21484,23,35,70302,202,1,0,Month-to-month,1,Fiber,0,-18,Seoul,0
24862,61,11,88439,303,1,1,Month-to-month,0,Fiber,1,83,Seoul,1
21935,25,26,75830,269,0,0,1-year,1,Fiber,0,32,Other,0
21035,21,47,62843,420,0,1,1-year,1,DSL,1,15,Seoul,0
25485,45,14,44133,647,0,1,1-year,1,Fiber,0,43,Metro,0
22479,22,46,73674,402,0,0,Month-to-month,0,Fiber,0,64,Seoul,0
20350,26,22,52791,298,2,1,Month-to-month,1,Fiber,1,-25,Other,1
24394,21,13,68982,617,1,0,Month-to-month,1,Fiber,0,51,Metro,0
24353,46,6,62400,282,0,1,2-year,0,DSL,0,61,Other,0
27558,57,15,90260,316,0,2,1-year,0,Fiber,0,-26,Seoul,0
21062,53,15,66317,268,1,0,Month-to-month,1,Fiber,1,15,Seoul,0
20880,50,22,92416,546,0,0,2-year,1,DSL,1,9,Seoul,0
25603,18,3,53147,416,0,1,Month-to-month,1,DSL,0,-28,Metro,1
22543,67,44,73847,30,0,0,Month-to-month,0,Fiber,0,17,Other,0
26424,54,16,94050,521,1,2,1-year,1,Fiber,0,-25,Metro,0
26745,63,29,91180,388,1,1,1-year,1,DSL,0,66,Metro,0
21851,22,11,56205,403,0,0,1-year,1,Fiber,1,55,Other,1
25403,53,11,69023,336,2,0,1-year,1,5G,0,6,Seoul,0
21678,39,12,55767,347,3,0,1-year,1,5G,0,51,Seoul,0
21836,25,3,60469,425,0,0,Month-to-month,1,Fiber,0,49,Metro,1
27112,59,4,67090,344,1,0,Month-to-month,1,5G,0,25,Other,1
24953,58,15,70757,163,0,0,1-year,1,5G,0,40,Metro,0
24705,56,4,93323,325,0,0,2-year,1,5G,0,17,Metro,0
25200,67,4,54295,452,1,1,2-year,1,Fiber,1,41,Other,0
20458,50,10,50680,327,0,0,Month-to-month,1,Fiber,0,12,Seoul,0
24648,22,9,60789,500,1,0,Month-to-month,0,DSL,0,-15,Metro,1
26508,43,23,60735,469,1,0,1-year,1,Fiber,1,43,Seoul,0
23183,56,4,62522,482,2,0,Month-to-month,1,5G,1,26,Seoul,0
25338,47,21,70394,202,0,0,Month-to-month,0,Fiber,1,-4,Other,0
21946,24,22,74486,422,1,0,Month-to-month,0,5G,0,20,Metro,0
26125,25,18,65557,111,1,0,1-year,0,Fiber,0,45,Seoul,0
23264,62,11,71556,427,1,1,1-year,0,DSL,0,23,Other,0
26523,26,9,80138,225,0,1,1-year,0,Fiber,1,59,Metro,0
26522,22,32,80904,312,1,0,1-year,1,Fiber,0,42,Metro,0
26703,45,34,68812,265,2,0,1-year,0,DSL,0,6,Seoul,0
22989,64,7,74192,534,0,0,Month-to-month,1,Fiber,0,-10,Seoul,1
27021,44,19,70133,241,0,1,Month-to-month,0,Fiber,0,32,Other,1
21551,32,3,79212,512,1,1,2-year,0,Fiber,0,32,Seoul,1
22165,67,11,61131,530,0,0,Month-to-month,1,DSL,0,50,Other,0
20587,53,9,59990,592,2,0,2-year,0,Fiber,1,24,Seoul,0
22406,61,8,76534,422,0,1,Month-to-month,1,5G,1,1,Metro,0
26801,62,12,81607,243,2,1,Month-to-month,1,DSL,1,25,Metro,0
23429,58,10,58389,387,0,1,1-year,0,DSL,0,74,Other,0
22610,60,7,66764,183,1,0,1-year,1,5G,0,-33,Seoul,0
23657,44,38,53775,399,0,0,2-year,1,DSL,0,12,Metro,0
23215,47,20,65942,556,0,1,Month-to-month,1,5G,0,44,Metro,1
23535,22,15,70228,308,0,0,1-year,1,5G,0,31,Metro,0
23287,24,23,48877,334,0,0,Month-to-month,0,Fiber,1,16,Metro,1
22081,61,16,67565,268,0,1,2-year,1,DSL,1,34,Seoul,0
26956,65,27,74413,473,1,0,Month-to-month,1,Fiber,1,-27,Metro,0
26488,33,28,74128,258,1,0,Month-to-month,1,DSL,1,8,Seoul,1
20648,45,6,93364,482,2,1,Month-to-month,0,Fiber,1,44,Other,1
20223,54,22,62797,443,2,0,Month-to-month,1,DSL,1,5,Other,0
26890,63,25,65898,527,0,0,1-year,1,Fiber,0,4,Seoul,0
27679,40,18,77478,528,0,0,1-year,0,Fiber,1,-27,Other,0
20024,66,17,76907,605,1,1,Month-to-month,0,Fiber,0,-56,Metro,1
21906,30,44,66620,503,2,1,Month-to-month,0,DSL,0,53,Metro,0
24079,30,19,77874,411,1,2,1-year,0,DSL,0,57,Metro,0
21555,41,19,90864,398,0,0,2-year,0,DSL,1,49,Seoul,0
25724,45,6,48608,339,0,1,Month-to-month,1,Fiber,0,45,Seoul,0
25205,45,2,74125,418,2,0,Month-to-month,1,5G,1,-18,Metro,1
27701,45,11,75196,210,2,0,Month-to-month,1,5G,0,16,Other,1
25841,58,8,44850,558,0,0,Month-to-month,1,DSL,1,-52,Seoul,1
24946,55,11,52195,293,1,0,Month-to-month,1,DSL,1,10,Other,0
21408,63,2,71951,309,0,0,2-year,0,Fiber,1,14,Seoul,0
20066,34,9,49499,259,1,1,Month-to-month,1,5G,1,14,Metro,1
26341,33,13,71978,485,1,0,Month-to-month,0,DSL,1,14,Metro,1
21045,54,14,73650,307,3,1,1-year,1,DSL,0,61,Other,0
26689,54,15,65223,266,0,2,1-year,1,DSL,1,77,Seoul,0
27925,24,3,80307,140,0,1,Month-to-month,0,Fiber,0,20,Metro,0
24744,34,20,60914,638,1,1,1-year,0,DSL,1,23,Seoul,0
22032,27,16,63113,427,1,0,Month-to-month,0,DSL,0,73,Seoul,0
25825,44,9,66207,466,1,0,2-year,0,DSL,1,46,Metro,0
25245,36,18,45057,531,0,2,Month-to-month,1,Fiber,1,4,Other,1
25037,65,19,70509,337,0,0,1-year,0,DSL,0,26,Other,1
20555,69,20,74985,324,1,0,Month-to-month,1,DSL,0,33,Metro,0
27312,22,10,67150,583,0,1,Month-to-month,1,Fiber,0,21,Other,0
24395,44,35,71392,193,0,0,Month-to-month,1,Fiber,0,31,Other,0
25395,46,5,90898,308,0,0,Month-to-month,1,DSL,0,45,Seoul,0
23536,21,15,55606,416,0,2,Month-to-month,1,DSL,0,-30,Other,0
21700,68,19,58100,531,0,0,Month-to-month,0,5G,0,12,Seoul,0
26727,62,13,58548,373,1,0,1-year,0,DSL,0,26,Seoul,1
21056,69,14,74135,491,0,1,Month-to-month,0,Fiber,0,-15,Seoul,1
21407,36,12,47039,321,1,1,1-year,1,DSL,1,8,Seoul,0
23768,56,22,57304,462,0,1,2-year,0,Fiber,0,-20,Other,0
20602,58,7,70613,264,1,1,1-year,0,DSL,0,25,Seoul,0
21384,64,15,62253,599,1,0,Month-to-month,0,Fiber,0,-11,Metro,1
23333,30,24,61148,502,1,0,1-year,1,Fiber,1,26,Other,0
22119,46,6,60878,566,2,1,Month-to-month,0,DSL,1,23,Seoul,0
24320,20,62,82541,438,0,0,1-year,0,Fiber,0,65,Seoul,1
21913,18,25,73441,300,0,1,1-year,0,Fiber,1,37,Metro,1
23685,68,19,77673,455,0,1,1-year,0,5G,0,100,Other,0
27583,53,43,68694,504,2,1,1-year,0,5G,1,88,Seoul,0
24814,46,10,82800,455,0,0,2-year,1,DSL,1,32,Metro,0
21741,40,16,87199,622,2,0,1-year,0,Fiber,1,97,Seoul,0
25040,29,3,57269,340,3,0,1-year,0,Fiber,1,17,Metro,0
20928,33,2,49898,552,0,2,2-year,0,DSL,1,29,Metro,1
25139,22,10,65377,568,1,1,Month-to-month,1,Fiber,0,52,Metro,0
23579,63,15,65854,571,2,1,Month-to-month,1,DSL,0,32,Seoul,1
24443,53,9,74407,437,0,1,Month-to-month,0,5G,1,-35,Metro,1
27473,29,1,79336,680,1,0,2-year,1,DSL,0,58,Seoul,0
27129,33,8,86363,159,0,1,2-year,0,DSL,0,11,Other,1
20240,50,24,73099,312,1,2,Month-to-month,1,5G,0,46,Seoul,0
22967,30,45,76881,98,0,1,1-year,0,Fiber,1,-1,Other,0
23543,22,25,60502,384,1,0,Month-to-month,0,Fiber,1,5,Seoul,1
26207,54,19,35000,311,1,3,Month-to-month,0,DSL,0,57,Seoul,0
23211,67,47,71133,345,1,0,Month-to-month,0,DSL,0,4,Other,1
20102,28,25,64925,111,0,0,Month-to-month,0,DSL,1,0,Metro,0
20319,66,21,67390,123,0,0,1-year,0,Fiber,0,17,Seoul,0
24582,68,19,56558,511,0,1,1-year,1,DSL,0,-8,Metro,0
23188,38,27,62080,539,1,1,2-year,0,Fiber,1,-15,Seoul,0
20534,32,20,43278,316,1,2,1-year,1,Fiber,1,-7,Other,0
20738,35,52,37335,563,2,1,1-year,0,Fiber,0,-27,Seoul,0
21245,63,4,74127,569,1,0,1-year,0,Fiber,0,-44,Seoul,0
21143,66,2,56616,222,2,1,2-year,0,Fiber,0,28,Other,0
24348,25,6,69330,177,4,1,1-year,0,Fiber,0,20,Metro,0
27288,27,24,56158,344,0,0,Month-to-month,0,DSL,0,62,Other,1
26527,18,8,89394,539,2,2,Month-to-month,0,DSL,0,1,Seoul,1
21329,53,11,82177,143,0,0,2-year,1,DSL,1,10,Metro,0
27098,23,5,86519,377,0,0,Month-to-month,1,DSL,0,3,Seoul,0
26614,21,22,58014,463,3,0,Month-to-month,0,5G,0,10,Seoul,1
21929,27,6,90873,491,3,0,Month-to-month,1,DSL,1,7,Other,1
25005,58,27,62905,320,1,1,1-year,0,5G,0,55,Seoul,0
20497,24,20,82205,91,0,1,1-year,0,5G,0,23,Other,0
27545,38,12,61763,361,0,3,Month-to-month,1,DSL,0,24,Metro,1
22772,20,29,80578,667,0,0,Month-to-month,0,Fiber,0,14,Other,0
20473,40,37,81680,210,1,0,1-year,0,5G,1,-20,Seoul,0
25051,40,28,90630,520,0,0,Month-to-month,1,Fiber,0,-33,Other,0
24077,68,9,75662,430,0,0,Month-to-month,1,Fiber,0,-10,Seoul,1
23917,21,6,71099,87,1,1,1-year,0,Fiber,0,18,Metro,0
20545,61,4,65686,495,0,0,1-year,1,Fiber,0,-7,Other,0
24177,33,22,63587,422,0,2,1-year,1,Fiber,1,55,Seoul,1
21243,68,6,57059,538,1,0,Month-to-month,0,5G,0,31,Other,0
27331,31,3,79297,327,0,0,1-year,0,Fiber,0,82,Other,0
25539,60,5,47622,438,0,1,Month-to-month,0,5G,0,48,Seoul,0
20335,41,26,81488,399,0,0,1-year,0,Fiber,1,-18,Metro,1
27133,58,13,72765,339,0,1,Month-to-month,1,Fiber,0,47,Other,0
21316,33,13,65271,715,0,0,1-year,0,DSL,0,21,Metro,0
21920,45,13,66681,380,0,0,Month-to-month,0,Fiber,0,29,Metro,0
22185,50,12,93537,355,0,1,1-year,1,DSL,1,48,Seoul,0
23862,51,9,95064,403,3,0,1-year,1,Fiber,1,54,Metro,0
27410,21,21,68075,486,1,1,2-year,1,Fiber,1,8,Metro,0
24646,38,46,57637,351,0,0,Month-to-month,1,Fiber,0,-21,Seoul,0
20133,22,26,91168,375,1,0,Month-to-month,1,DSL,0,48,Seoul,0
23961,67,19,61044,453,0,1,1-year,1,DSL,1,62,Metro,0
26352,20,24,47624,407,0,0,1-year,1,DSL,1,36,Seoul,0
22246,61,27,87540,249,0,1,Month-to-month,1,DSL,1,26,Seoul,0
20541,54,19,50238,356,2,0,Month-to-month,1,Fiber,0,-10,Metro,0
26147,46,6,77820,355,0,0,2-year,0,Fiber,0,49,Metro,0
22030,35,8,70748,103,1,0,1-year,1,Fiber,0,25,Other,0
20038,61,12,65393,404,0,0,1-year,0,5G,1,-11,Seoul,0
27637,25,11,86254,514,1,1,1-year,0,Fiber,0,3,Seoul,0
27574,67,39,77366,598,1,0,1-year,1,Fiber,0,0,Other,0
22019,55,4,61670,378,2,0,2-year,1,5G,0,12,Metro,1
22112,53,26,47233,502,1,2,1-year,0,Fiber,0,-3,Seoul,1
22403,56,27,71187,515,1,2,Month-to-month,0,DSL,1,13,Metro,0
20749,34,4,65552,358,2,1,Month-to-month,0,Fiber,0,28,Metro,1
27568,29,12,71398,366,1,0,Month-to-month,1,DSL,1,25,Metro,0
22457,61,24,77629,436,1,1,1-year,0,5G,0,81,Seoul,1
27513,43,9,71059,218,0,1,2-year,0,Fiber,1,52,Other,0
22345,48,15,79889,526,0,0,2-year,0,Fiber,0,90,Other,0
20096,32,23,68088,450,1,3,1-year,1,DSL,0,30,Metro,0
26252,28,18,72503,408,0,1,Month-to-month,0,5G,0,-45,Seoul,1
27865,30,8,84705,582,1,1,Month-to-month,0,Fiber,1,-9,Other,1
25224,60,10,65586,564,1,2,Month-to-month,0,Fiber,0,63,Other,1
22115,56,7,69007,222,1,0,1-year,1,Fiber,1,3,Seoul,0
22587,37,9,42512,377,0,0,1-year,1,Fiber,0,13,Other,0
25199,47,10,64155,270,1,1,1-year,0,DSL,0,-1,Other,1
23440,61,10,58142,343,0,0,1-year,0,DSL,0,8,Metro,0
23555,39,29,100150,278,0,0,Month-to-month,1,Fiber,0,41,Seoul,0
20454,19,23,65312,389,0,1,Month-to-month,1,5G,1,40,Metro,0
26585,55,37,68532,321,1,1,1-year,0,Fiber,0,100,Other,0
22813,28,14,78270,357,0,1,Month-to-month,1,5G,1,-4,Other,0
22837,68,46,46725,427,1,0,Month-to-month,1,Fiber,1,4,Other,0
20252,43,11,63151,399,0,1,1-year,0,Fiber,0,67,Metro,1
26636,23,26,86353,533,0,1,Month-to-month,1,5G,1,72,Seoul,0
21023,63,6,78623,644,2,0,1-year,0,DSL,0,80,Metro,0
27648,19,24,63832,389,1,1,Month-to-month,1,Fiber,0,44,Metro,0
21011,31,25,73754,360,1,2,Month-to-month,0,DSL,0,32,Other,0
24650,31,20,65723,424,0,2,1-year,0,5G,1,65,Metro,1
26002,61,11,90307,548,1,1,2-year,1,Fiber,0,-39,Metro,1
21673,31,15,72778,696,1,0,1-year,1,Fiber,0,-3,Metro,0
20626,30,47,83837,335,0,0,Month-to-month,1,DSL,1,-31,Seoul,0
27794,34,10,44918,473,1,0,2-year,1,5G,0,-19,Seoul,0
22111,32,14,66094,325,0,1,Month-to-month,0,Fiber,0,15,Metro,1
21466,23,22,56007,170,1,1,1-year,0,Fiber,1,-21,Metro,0
27530,21,8,76786,323,1,0,Month-to-month,0,5G,0,-17,Seoul,1
24735,61,6,67204,300,0,0,Month-to-month,1,Fiber,0,-5,Metro,1
24267,36,15,83832,404,1,1,Month-to-month,0,Fiber,0,-5,Metro,1
23092,38,27,72328,179,0,0,1-year,1,Fiber,0,60,Other,0
26973,29,35,64645,428,0,1,1-year,0,5G,1,3,Seoul,0
21889,21,8,74907,49,1,0,Month-to-month,0,5G,0,14,Metro,0
21609,30,22,77045,132,0,0,Month-to-month,0,5G,0,-17,Seoul,0
21745,28,31,50103,542,0,1,Month-to-month,0,5G,1,16,Seoul,0
20158,46,48,91533,418,0,0,1-year,1,Fiber,0,28,Seoul,0
22440,21,49,62911,339,1,0,1-year,1,Fiber,1,-1,Seoul,0
22200,26,10,73963,377,1,0,Month-to-month,1,Fiber,1,15,Metro,0
23095,65,6,87330,528,2,1,Month-to-month,0,Fiber,1,44,Metro,1
26214,35,18,74142,472,1,3,Month-to-month,1,DSL,0,10,Seoul,0
20504,63,17,76645,318,2,0,1-year,1,DSL,1,-41,Metro,0
26187,38,6,68393,604,0,3,Month-to-month,0,Fiber,1,14,Other,0
20316,52,21,56487,348,2,0,2-year,1,Fiber,0,22,Other,1
20711,53,16,61127,633,2,0,Month-to-month,1,5G,0,23,Other,0
23969,48,14,93508,523,1,0,Month-to-month,1,DSL,1,-62,Other,0
24175,38,3,57596,285,1,0,Month-to-month,0,DSL,0,34,Other,1
23718,31,44,55765,344,0,0,Month-to-month,0,Fiber,1,-14,Other,0
27083,56,6,71968,271,1,0,1-year,0,5G,1,59,Seoul,0
20857,30,16,56321,454,4,0,Month-to-month,1,5G,0,-25,Other,1
23323,58,9,94954,503,1,0,Month-to-month,1,Fiber,0,21,Metro,0
25003,50,14,65476,391,1,2,Month-to-month,1,DSL,1,19,Metro,1
22657,21,11,55514,245,1,0,Month-to-month,0,5G,0,88,Seoul,0
20320,57,27,51143,274,1,1,Month-to-month,1,Fiber,1,-6,Metro,1
20430,55,24,80547,350,1,0,Month-to-month,1,5G,1,83,Other,0
21019,20,26,45516,383,2,0,1-year,0,Fiber,0,50,Other,0
21427,52,11,75662,251,0,1,Month-to-month,1,5G,1,2,Other,0
27943,47,7,55942,177,1,0,Month-to-month,0,Fiber,0,-52,Seoul,1
23704,65,55,44029,312,0,0,1-year,1,Fiber,0,6,Seoul,0
26544,48,21,63833,195,0,1,Month-to-month,1,Fiber,0,-1,Metro,0
22108,25,34,83236,421,0,2,1-year,1,5G,0,-22,Seoul,0
27146,33,9,68650,243,0,0,Month-to-month,0,DSL,0,62,Other,0
26606,31,35,63990,508,2,2,1-year,1,Fiber,0,40,Other,0
27531,40,38,59906,377,1,1,1-year,0,Fiber,0,-34,Metro,1
27979,42,4,67480,492,1,1,2-year,1,DSL,0,1,Seoul,0
27945,69,41,61720,495,0,0,1-year,0,DSL,1,19,Seoul,0
21194,54,26,73413,339,2,0,Month-to-month,0,Fiber,0,13,Seoul,0
26358,18,25,84846,477,0,0,1-year,1,DSL,1,-13,Seoul,0
24114,68,7,85211,271,4,2,Month-to-month,0,5G,0,34,Metro,1
25741,57,49,45835,456,1,0,Month-to-month,0,5G,1,36,Seoul,0
21841,40,12,68956,221,2,2,1-year,1,DSL,0,57,Metro,0
22535,59,3,68719,268,0,1,Month-to-month,1,Fiber,0,44,Seoul,0
21863,62,27,77928,30,1,1,2-year,1,Fiber,1,-27,Metro,0
25837,63,5,65436,323,0,0,Month-to-month,1,Fiber,0,37,Seoul,1
27774,69,38,55266,432,0,2,2-year,1,DSL,1,47,Seoul,0
26700,38,72,73122,187,1,0,1-year,1,DSL,1,43,Seoul,0
23046,63,9,73980,501,3,0,Month-to-month,1,DSL,0,4,Seoul,0
22629,50,10,49689,400,2,2,1-year,0,DSL,1,5,Seoul,1
24229,36,26,63052,559,0,1,Month-to-month,1,DSL,1,37,Other,0
26061,42,28,86666,413,1,1,1-year,1,5G,0,-44,Seoul,0
24230,18,15,67267,393,2,1,2-year,1,DSL,1,12,Other,0
21282,56,13,61943,377,1,0,2-year,1,DSL,1,-8,Other,0
27741,25,27,81416,489,1,0,Month-to-month,1,5G,1,26,Seoul,0
27289,40,14,55142,619,1,0,Month-to-month,0,Fiber,1,66,Other,1
25503,19,3,86725,464,0,0,1-year,0,Fiber,0,12,Metro,1
24221,23,22,75009,317,0,1,Month-to-month,0,5G,0,-17,Metro,1
24546,57,14,76070,238,1,2,Month-to-month,1,Fiber,0,59,Other,0
27699,21,29,69388,431,2,2,2-year,1,5G,1,-9,Seoul,0
20744,32,9,68112,202,1,1,1-year,1,DSL,1,-5,Metro,0
25529,19,15,52677,114,1,0,Month-to-month,1,Fiber,0,23,Metro,0
22234,25,9,61900,374,0,1,1-year,0,Fiber,1,41,Seoul,0
24505,18,36,75214,419,2,1,1-year,1,Fiber,0,31,Seoul,0
26247,59,30,68368,418,0,3,Month-to-month,0,DSL,0,-27,Metro,1
26097,53,12,57384,484,1,2,2-year,1,5G,0,-72,Seoul,0
27771,29,18,85824,45,0,0,Month-to-month,1,DSL,0,24,Other,0
25278,60,11,60815,300,0,0,1-year,1,Fiber,0,42,Metro,0
23616,41,13,77901,333,1,0,1-year,0,Fiber,0,36,Seoul,0
