Order_ID,Distance_km,Prep_Time_min,Riders_Available,Order_Queue,Weather,Rain_mm,Temp_C,Wind_mps,Rush_Hour,DayOfWeek,Time_Slot,Vehicle,Road_Type,Promo,Tip_Level,Delivery_Time_min
11756,9.1,14,4,2,Rain,2.9,28.4,3.8,0,6,Lunch,Scooter,Suburban,0,3,73.5
12516,10.6,17,2,5,Clear,0.0,16.8,2.9,1,4,Morning,Bike,Downtown,0,0,105.2
13586,5.3,10,8,4,Clear,0.0,8.5,1.4,1,6,Lunch,Bike,Suburban,1,2,58.9
14316,12.6,5,3,8,Clear,0.0,35.0,1.4,1,6,Dinner,Scooter,Suburban,0,1,90.4
14967,1.2,9,2,4,Rain,2.8,4.2,5.4,0,3,Dinner,Scooter,Downtown,0,2,44.4
12100,11.0,11,2,2,Rain,3.5,20.5,1.6,0,2,Night,Bike,Downtown,0,3,91.9
13600,10.3,23,13,1,Rain,3.8,5.6,1.6,0,2,Lunch,Scooter,Suburban,0,2,89.4
14122,3.5,13,10,8,Clear,0.0,19.1,2.5,1,5,Lunch,Car,Downtown,0,0,53.1
10030,0.9,30,8,3,Clear,0.0,13.6,5.0,0,1,Night,Car,Downtown,1,1,63.5
10066,7.9,6,13,2,Clear,0.0,14.2,2.9,0,6,Lunch,Scooter,Highway,0,3,55.1
10839,3.2,15,14,1,Fog,0.0,22.1,3.0,0,5,Dinner,Scooter,Suburban,1,2,50.4
13907,10.1,5,14,2,Clear,0.0,11.5,1.4,1,3,Afternoon,Scooter,Downtown,0,1,76.3
13774,3.4,5,5,1,Rain,3.3,20.5,3.4,1,1,Night,Bike,Highway,0,0,43.1
14636,0.6,14,14,3,Clear,0.0,4.8,5.0,0,2,Dinner,Bike,Downtown,0,0,40.0
13162,6.5,16,1,5,Rain,9.2,16.5,5.3,1,2,Dinner,Bike,Downtown,0,3,95.0
12660,6.3,15,8,6,Clear,0.0,26.2,2.3,1,0,Dinner,Scooter,Downtown,0,3,64.7
14616,1.0,16,15,3,Rain,8.7,11.2,1.1,1,5,Dinner,Scooter,Suburban,0,2,45.4
14629,0.7,15,1,5,Clear,0.0,0.3,3.1,1,1,Dinner,Car,Downtown,0,2,44.0
12452,1.3,7,15,4,Rain,1.5,14.5,2.1,0,1,Lunch,Scooter,Suburban,0,2,36.4
12847,9.2,3,7,2,Clear,0.0,11.3,3.9,0,5,Night,Bike,Downtown,0,3,69.9
11145,7.2,13,13,5,Clear,0.0,19.3,2.9,1,2,Morning,Scooter,Downtown,0,0,69.2
13079,5.1,26,7,4,Rain,6.4,2.0,3.8,1,6,Lunch,Bike,Suburban,0,2,84.2
11104,19.1,17,15,5,Clear,0.0,12.0,2.3,0,5,Lunch,Scooter,Downtown,0,1,125.7
10169,7.9,21,7,0,Snow,2.6,3.6,2.6,1,0,Lunch,Car,Suburban,0,3,88.8
11671,5.1,16,6,6,Fog,0.0,13.2,2.6,0,6,Dinner,Car,Downtown,0,1,69.0
12571,14.2,13,15,3,Clear,0.0,5.9,3.4,1,5,Dinner,Scooter,Downtown,0,0,105.1
12378,8.0,11,2,7,Fog,0.0,31.1,3.2,0,3,Dinner,Scooter,Highway,0,3,74.5
14396,8.8,10,8,5,Clear,0.0,5.9,4.6,1,6,Morning,Scooter,Suburban,1,3,78.8
14258,1.6,11,12,5,Clear,0.0,7.4,2.1,1,4,Night,Scooter,Downtown,0,0,43.7
13863,4.8,19,13,12,Clear,0.0,7.1,4.2,0,4,Lunch,Bike,Suburban,0,0,67.3
10024,8.1,16,12,6,Clear,0.0,15.0,3.3,0,1,Dinner,Scooter,Downtown,0,1,74.7
12634,2.2,15,12,2,Rain,5.7,3.0,2.3,0,0,Morning,Bike,Suburban,0,2,42.9
13341,11.2,19,8,2,Clear,0.0,6.5,1.8,0,5,Morning,Scooter,Downtown,0,0,82.5
12216,5.9,4,12,5,Clear,0.0,19.0,2.7,0,3,Lunch,Scooter,Suburban,0,3,46.3
13683,5.1,15,15,2,Clear,0.0,21.9,3.0,0,6,Night,Bike,Suburban,0,3,47.6
14725,3.9,15,15,7,Rain,3.5,33.6,2.5,0,0,Afternoon,Scooter,Downtown,0,1,61.4
11908,5.3,14,9,5,Clear,0.0,12.7,3.7,1,2,Dinner,Scooter,Downtown,0,2,64.2
10085,2.9,19,2,4,Rain,3.2,18.1,0.7,0,0,Lunch,Car,Suburban,1,3,53.2
10228,4.5,13,1,3,Rain,0.9,11.1,3.7,0,6,Lunch,Scooter,Suburban,0,2,66.0
10297,6.0,23,5,5,Clear,0.0,16.9,3.2,1,4,Night,Scooter,Downtown,0,1,72.1
11002,7.1,17,4,4,Clear,0.0,19.9,1.9,1,0,Dinner,Car,Downtown,0,1,67.3
12139,6.1,14,9,2,Clear,0.0,14.1,4.5,0,0,Morning,Scooter,Suburban,0,0,59.0
10712,12.6,9,11,4,Clear,0.0,26.8,3.0,1,6,Dinner,Bike,Suburban,0,3,104.8
12802,20.0,15,3,3,Clear,0.0,3.7,2.1,1,0,Morning,Scooter,Highway,0,0,139.0
12528,6.8,14,10,5,Clear,0.0,12.3,1.6,1,3,Night,Bike,Suburban,1,2,76.1
13753,3.1,25,4,3,Clear,0.0,14.5,3.8,0,2,Dinner,Scooter,Downtown,0,0,63.7
13322,1.7,14,8,2,Clear,0.0,17.7,3.1,0,4,Morning,Scooter,Suburban,0,1,32.6
13182,1.1,20,12,4,Snow,1.2,-0.3,0.7,0,5,Dinner,Scooter,Suburban,1,2,61.0
14184,9.6,11,11,4,Clear,0.0,10.5,2.3,0,0,Lunch,Scooter,Suburban,0,3,63.4
11616,6.4,6,7,2,Clear,0.0,21.2,3.1,0,6,Night,Scooter,Suburban,0,1,49.6
13025,1.9,17,11,2,Clear,0.0,-4.2,3.4,1,2,Night,Scooter,Suburban,0,0,40.3
11414,12.8,17,2,7,Snow,10.3,-10.0,2.3,0,6,Afternoon,Car,Downtown,1,0,120.0
10764,2.1,10,7,1,Clear,0.0,8.3,2.0,0,1,Afternoon,Bike,Downtown,0,3,31.9
10656,3.8,11,11,5,Clear,0.0,25.4,3.2,0,6,Dinner,Scooter,Suburban,0,3,35.6
14798,11.5,19,8,7,Clear,0.0,10.9,2.0,1,5,Morning,Scooter,Suburban,0,0,104.1
13850,7.5,19,5,4,Clear,0.0,9.1,1.1,1,3,Lunch,Bike,Downtown,0,0,82.9
14154,15.7,3,8,5,Rain,3.1,14.0,1.5,1,0,Night,Scooter,Suburban,0,1,114.8
10469,11.0,14,13,1,Rain,5.7,6.0,3.6,0,6,Afternoon,Scooter,Suburban,0,1,87.2
10158,11.1,15,2,6,Rain,2.3,33.6,2.2,1,1,Night,Bike,Suburban,0,2,108.3
11296,2.8,8,3,3,Snow,6.8,-10.0,2.3,1,2,Afternoon,Bike,Downtown,0,2,61.0
10498,9.2,14,12,2,Clear,0.0,25.3,3.1,1,5,Afternoon,Scooter,Suburban,0,2,71.6
14741,0.9,16,15,5,Clear,0.0,1.5,1.7,0,6,Night,Scooter,Suburban,1,3,42.4
12941,6.9,11,15,1,Clear,0.0,4.7,3.5,0,2,Lunch,Scooter,Downtown,0,1,58.0
13457,2.4,3,4,2,Clear,0.0,1.1,5.7,1,6,Night,Scooter,Suburban,1,2,38.5
10374,1.0,6,8,3,Clear,0.0,29.3,3.4,1,4,Morning,Car,Downtown,1,0,30.8
10080,2.1,16,2,5,Clear,0.0,1.6,2.6,1,4,Morning,Scooter,Suburban,0,1,48.0
11554,3.0,8,8,9,Clear,0.0,4.5,1.5,0,0,Lunch,Scooter,Suburban,0,2,42.2
11670,7.1,24,1,6,Clear,0.0,13.0,2.7,1,0,Afternoon,Car,Downtown,0,2,83.7
12132,2.3,15,5,1,Clear,0.0,16.9,2.6,1,0,Dinner,Car,Downtown,1,1,47.3
14440,3.8,15,4,2,Clear,0.0,19.5,2.2,0,6,Afternoon,Scooter,Highway,0,3,44.2
10466,4.4,16,1,2,Rain,5.3,18.6,3.2,0,5,Dinner,Car,Downtown,0,0,62.5
10249,10.5,15,6,4,Rain,7.6,10.9,4.4,1,0,Dinner,Car,Downtown,0,3,91.1
10932,0.7,15,15,6,Clear,0.0,14.1,2.9,0,6,Lunch,Bike,Suburban,1,0,41.3
11336,9.7,17,12,5,Clear,0.0,6.9,1.6,1,2,Afternoon,Scooter,Suburban,0,0,81.6
14525,2.4,8,3,7,Rain,0.9,11.5,4.3,1,4,Morning,Scooter,Downtown,0,0,53.2
11339,1.8,10,5,3,Clear,0.0,21.3,2.8,1,3,Afternoon,Scooter,Downtown,0,3,41.4
11407,5.9,14,10,3,Clear,0.0,30.9,0.9,0,5,Dinner,Bike,Downtown,0,0,59.3
11091,5.4,20,15,4,Rain,2.4,7.6,2.5,1,0,Morning,Bike,Downtown,0,0,80.0
14210,5.1,8,3,3,Rain,1.1,14.4,4.6,1,3,Lunch,Bike,Suburban,0,2,57.1
10743,5.7,12,7,4,Clear,0.0,12.8,1.7,0,2,Lunch,Scooter,Downtown,1,2,62.0
12324,8.8,11,15,3,Fog,0.0,5.5,0.7,0,5,Afternoon,Bike,Downtown,0,1,77.4
13602,11.0,22,5,1,Rain,5.1,18.8,5.2,0,1,Dinner,Scooter,Suburban,0,1,89.2
12124,8.6,11,5,2,Clear,0.0,10.4,0.5,0,5,Night,Bike,Suburban,0,2,65.4
12095,14.3,12,8,2,Clear,0.0,13.4,1.8,1,2,Afternoon,Bike,Highway,0,3,107.1
10241,10.4,17,11,4,Clear,0.0,15.3,3.2,0,6,Lunch,Bike,Suburban,0,0,92.4
12352,4.8,4,11,4,Clear,0.0,21.3,5.6,1,0,Afternoon,Bike,Suburban,0,1,53.1
11371,2.8,19,7,4,Rain,2.0,20.4,2.3,0,0,Morning,Scooter,Suburban,1,1,54.9
11058,3.7,11,7,1,Clear,0.0,5.8,4.3,0,2,Dinner,Car,Suburban,0,2,35.9
14817,12.7,20,11,2,Clear,0.0,28.7,1.8,0,3,Afternoon,Scooter,Suburban,0,2,83.0
10200,5.9,12,13,7,Fog,0.0,12.4,1.8,1,4,Lunch,Car,Downtown,0,1,74.5
12281,3.9,8,12,7,Rain,1.0,-0.9,2.2,1,4,Lunch,Scooter,Downtown,0,1,65.3
14750,4.1,21,6,3,Clear,0.0,7.8,1.6,1,5,Lunch,Scooter,Downtown,0,0,67.3
12221,2.5,24,8,4,Rain,0.6,19.2,1.8,0,1,Night,Bike,Downtown,1,1,63.9
14772,4.4,15,11,7,Clear,0.0,10.3,3.2,1,2,Afternoon,Bike,Downtown,0,2,61.0
12820,0.6,22,12,3,Clear,0.0,10.9,3.4,1,0,Lunch,Scooter,Suburban,1,2,36.3
13151,6.2,13,5,6,Clear,0.0,4.4,2.3,1,4,Afternoon,Bike,Downtown,0,0,71.0
14257,3.5,19,12,3,Clear,0.0,29.5,0.7,0,4,Afternoon,Bike,Suburban,0,0,54.7
13108,4.4,16,4,2,Clear,0.0,16.7,2.8,0,0,Afternoon,Bike,Downtown,0,2,63.6
11974,6.4,17,4,5,Rain,4.2,11.2,2.9,1,4,Lunch,Scooter,Downtown,0,0,82.8
11376,20.0,9,6,4,Rain,6.5,35.0,3.2,1,4,Morning,Scooter,Suburban,0,0,144.6
13969,4.7,18,11,6,Clear,0.0,13.3,2.0,1,6,Dinner,Scooter,Downtown,0,1,63.6
14063,2.8,14,12,4,Clear,0.0,13.0,3.0,0,0,Morning,Bike,Downtown,0,1,47.8
14446,15.3,11,7,5,Fog,0.0,23.2,4.0,0,2,Afternoon,Bike,Downtown,0,2,115.6
13558,7.5,7,4,4,Snow,6.2,-8.8,2.1,0,3,Afternoon,Scooter,Suburban,0,2,80.7
10965,0.8,28,15,3,Snow,20.5,-9.2,3.3,1,1,Dinner,Scooter,Suburban,0,1,77.6
10180,6.0,8,12,3,Clear,0.0,5.8,2.6,1,6,Lunch,Scooter,Downtown,0,1,58.0
13699,8.5,21,11,5,Fog,0.0,21.2,4.6,1,5,Afternoon,Scooter,Downtown,0,0,100.2
13822,7.4,13,15,2,Clear,0.0,20.7,2.1,0,1,Dinner,Scooter,Downtown,0,2,58.7
14879,3.6,9,11,8,Rain,2.7,7.4,2.2,1,6,Night,Scooter,Downtown,0,1,59.6
13900,9.9,12,9,3,Snow,5.7,4.2,2.8,0,4,Afternoon,Bike,Suburban,1,0,99.9
14488,5.2,12,13,6,Clear,0.0,1.2,3.3,0,6,Afternoon,Scooter,Suburban,0,0,63.0
13239,20.0,14,4,4,Clear,0.0,17.9,1.8,1,1,Dinner,Bike,Downtown,0,0,150.0
12975,5.5,12,5,7,Rain,3.9,22.8,4.1,1,6,Afternoon,Scooter,Downtown,0,0,75.7
13581,2.1,17,10,3,Rain,3.0,34.8,1.0,0,2,Dinner,Scooter,Downtown,1,2,55.2
12888,3.5,21,2,8,Clear,0.0,30.0,2.4,1,3,Lunch,Scooter,Downtown,0,0,72.1
12576,3.5,12,10,4,Clear,0.0,-2.7,1.2,1,4,Lunch,Scooter,Highway,0,2,43.7
11420,20.0,20,7,3,Rain,2.2,4.6,2.4,1,1,Lunch,Bike,Highway,1,3,150.0
13908,2.0,16,13,3,Clear,0.0,11.0,1.3,1,4,Dinner,Scooter,Highway,1,3,32.6
14674,6.8,17,14,4,Clear,0.0,21.2,2.7,1,5,Lunch,Bike,Suburban,0,3,71.3
14903,0.5,7,15,10,Clear,0.0,23.1,1.0,1,4,Morning,Scooter,Highway,0,2,23.7
11861,11.9,10,2,3,Clear,0.0,4.4,2.8,0,5,Dinner,Car,Suburban,0,0,73.3
10009,9.2,23,6,4,Clear,0.0,10.7,2.2,1,3,Lunch,Bike,Suburban,0,0,104.1
12895,2.1,7,5,1,Clear,0.0,-4.0,4.7,0,6,Dinner,Scooter,Downtown,0,0,39.6
12848,6.6,13,1,3,Snow,1.2,3.2,1.9,0,3,Dinner,Scooter,Highway,1,3,68.9
13665,11.5,21,8,2,Clear,0.0,12.6,2.4,0,1,Morning,Scooter,Highway,0,0,87.3
10145,1.8,17,2,6,Clear,0.0,10.3,4.6,1,1,Night,Scooter,Suburban,0,3,51.3
12105,5.1,10,8,7,Rain,1.6,21.2,3.7,0,4,Night,Scooter,Highway,1,3,59.7
13144,7.5,19,12,2,Clear,0.0,2.3,2.8,1,1,Dinner,Scooter,Downtown,0,2,74.2
10842,4.4,13,2,3,Clear,0.0,19.2,3.4,0,2,Dinner,Bike,Suburban,1,3,57.5
11129,11.5,12,13,8,Rain,12.8,23.7,0.9,0,3,Dinner,Car,Downtown,1,2,87.0
10152,0.8,25,2,4,Clear,0.0,11.0,4.5,1,3,Afternoon,Bike,Highway,0,1,50.3
13592,1.2,15,4,2,Clear,0.0,17.4,4.1,0,6,Night,Scooter,Downtown,0,3,42.2
11053,2.5,17,4,2,Clear,0.0,27.5,2.4,1,1,Night,Scooter,Downtown,1,3,48.6
11591,6.3,15,2,1,Rain,1.4,14.6,2.2,1,4,Afternoon,Scooter,Downtown,0,2,70.1
13009,18.6,14,3,4,Rain,2.8,23.7,2.1,0,4,Night,Scooter,Downtown,1,2,124.5
12030,2.6,20,6,2,Clear,0.0,16.4,3.0,0,0,Night,Scooter,Downtown,0,3,51.2
13419,3.1,21,8,3,Rain,5.3,-5.9,2.5,1,2,Dinner,Bike,Downtown,0,3,62.4
11808,2.9,7,15,7,Rain,7.5,35.0,3.8,0,0,Dinner,Bike,Downtown,0,1,49.7
12697,8.7,17,12,6,Clear,0.0,17.9,0.8,0,6,Afternoon,Car,Downtown,1,1,71.0
13040,3.8,6,9,5,Rain,5.4,25.0,4.5,0,0,Afternoon,Scooter,Suburban,0,0,45.5
10473,5.9,9,2,5,Clear,0.0,1.8,4.0,0,3,Night,Bike,Downtown,1,3,60.5
13290,4.5,16,11,6,Clear,0.0,7.6,5.0,0,4,Dinner,Scooter,Downtown,1,1,57.9
14075,6.6,14,13,5,Clear,0.0,25.7,1.7,1,4,Dinner,Car,Highway,0,0,68.5
13497,1.1,20,14,1,Clear,0.0,35.0,2.2,1,6,Morning,Bike,Suburban,0,2,33.3
10280,4.7,24,13,9,Clear,0.0,21.7,3.1,0,1,Afternoon,Bike,Highway,0,0,66.5
11742,7.3,28,15,3,Clear,0.0,19.0,5.5,0,2,Night,Car,Highway,0,3,68.7
14625,2.5,24,8,4,Clear,0.0,0.5,2.2,0,5,Night,Car,Suburban,0,0,50.4
12887,10.8,10,15,7,Rain,2.7,18.6,3.1,0,2,Night,Bike,Downtown,1,3,94.5
11942,2.9,15,10,5,Rain,5.0,1.3,3.4,0,4,Lunch,Scooter,Suburban,0,2,50.9
10101,5.4,13,15,4,Clear,0.0,29.1,3.9,0,6,Afternoon,Bike,Downtown,0,2,56.9
12805,6.7,16,6,3,Snow,1.7,1.7,2.3,1,1,Morning,Scooter,Downtown,1,1,96.1
13571,3.3,12,6,2,Clear,0.0,25.0,2.5,0,4,Afternoon,Scooter,Downtown,1,1,49.9
13685,2.2,21,10,4,Clear,0.0,14.5,3.1,1,1,Lunch,Bike,Downtown,0,2,53.4
13662,3.7,15,10,3,Clear,0.0,24.8,3.6,1,1,Lunch,Scooter,Suburban,0,1,49.9
10531,5.5,18,9,5,Clear,0.0,4.2,2.4,1,4,Night,Car,Downtown,1,0,75.6
11887,6.3,8,2,3,Clear,0.0,20.9,2.8,0,1,Lunch,Bike,Suburban,1,3,63.3
10682,9.5,13,1,3,Clear,0.0,16.2,1.4,1,4,Dinner,Scooter,Downtown,0,3,83.8
13795,0.9,19,14,4,Rain,3.1,7.6,2.6,0,1,Lunch,Car,Suburban,1,3,51.4
13945,8.6,17,4,0,Clear,0.0,17.1,2.2,0,1,Night,Scooter,Suburban,0,2,66.7
14667,2.1,11,3,6,Snow,8.5,-6.9,2.1,0,2,Morning,Bike,Suburban,0,2,68.2
12019,4.2,13,13,5,Clear,0.0,-5.4,4.7,1,0,Afternoon,Scooter,Downtown,0,1,55.1
11097,2.3,14,6,7,Rain,0.6,16.9,2.6,0,2,Dinner,Scooter,Suburban,0,0,54.1
10830,6.2,15,15,0,Rain,5.4,21.6,0.0,0,6,Night,Bike,Suburban,1,0,59.6
12806,9.8,9,2,7,Clear,0.0,22.8,3.6,0,4,Dinner,Scooter,Suburban,1,1,70.3
13830,11.1,11,14,6,Clear,0.0,5.2,3.3,1,0,Morning,Car,Downtown,0,0,90.0
14382,3.5,16,10,2,Clear,0.0,21.6,3.0,1,3,Dinner,Scooter,Downtown,0,0,47.6
13892,3.5,19,9,5,Clear,0.0,10.7,3.1,1,6,Lunch,Scooter,Downtown,0,1,56.5
10765,13.5,13,15,0,Clear,0.0,9.4,2.1,0,0,Dinner,Scooter,Downtown,1,3,75.7
12768,7.5,12,12,3,Clear,0.0,3.7,1.5,1,0,Dinner,Bike,Downtown,1,1,80.9
14329,3.4,16,10,2,Clear,0.0,-1.2,3.5,1,0,Morning,Scooter,Suburban,0,1,46.5
13296,4.5,10,11,6,Rain,6.6,18.3,0.8,0,5,Morning,Scooter,Suburban,0,3,57.1
12195,6.6,14,13,1,Fog,0.0,26.6,0.8,1,6,Night,Scooter,Suburban,0,1,72.8
12358,3.6,10,10,4,Clear,0.0,17.7,2.4,1,3,Night,Scooter,Downtown,1,3,40.8
13426,5.5,13,14,5,Clear,0.0,8.3,2.9,1,2,Night,Car,Highway,0,3,51.6
13980,2.5,5,5,4,Clear,0.0,16.7,2.9,1,2,Dinner,Car,Suburban,1,3,36.3
10912,5.3,18,3,4,Snow,4.7,8.9,1.1,1,0,Afternoon,Scooter,Highway,0,3,76.9
13146,15.4,23,8,3,Clear,0.0,32.2,3.3,0,6,Lunch,Car,Downtown,0,2,105.9
11000,5.6,26,4,2,Clear,0.0,8.6,0.9,1,0,Lunch,Bike,Downtown,0,3,77.5
13654,8.1,21,8,4,Clear,0.0,28.7,3.8,0,1,Dinner,Bike,Downtown,0,2,77.9
12484,3.3,18,15,3,Clear,0.0,28.9,3.8,0,2,Dinner,Car,Downtown,0,1,52.2
14077,11.8,13,4,6,Clear,0.0,15.7,4.2,0,1,Dinner,Bike,Downtown,0,2,96.4
12371,5.7,23,11,0,Clear,0.0,25.0,2.6,1,5,Dinner,Scooter,Downtown,0,1,55.6
14839,9.4,8,12,3,Clear,0.0,14.1,2.3,0,2,Dinner,Scooter,Downtown,0,2,73.4
10034,9.1,14,9,4,Rain,5.3,26.8,3.4,1,2,Afternoon,Scooter,Downtown,0,0,88.1
13790,9.0,18,3,5,Rain,6.8,17.0,0.6,0,1,Lunch,Scooter,Downtown,0,1,84.6
11021,3.3,13,2,4,Rain,3.0,26.5,2.0,0,2,Lunch,Bike,Downtown,0,0,57.9
11648,3.9,12,13,2,Clear,0.0,21.5,3.1,0,1,Morning,Scooter,Highway,0,2,41.3
10734,0.8,12,10,3,Rain,4.4,11.2,2.6,1,6,Afternoon,Car,Highway,0,3,32.6
14583,4.9,11,3,5,Rain,3.0,0.0,2.7,0,2,Dinner,Bike,Suburban,0,2,63.1
13275,7.6,8,10,4,Rain,0.5,21.4,1.7,1,1,Night,Scooter,Suburban,1,0,76.8
11621,6.7,18,8,3,Fog,0.0,18.9,3.0,1,1,Dinner,Scooter,Downtown,0,2,77.7
13136,5.4,14,15,3,Clear,0.0,15.1,4.1,1,6,Dinner,Scooter,Downtown,1,0,72.0
12690,7.6,19,4,3,Rain,0.3,16.7,3.0,1,5,Night,Scooter,Highway,1,3,82.5
12708,1.9,12,7,3,Clear,0.0,-2.1,2.4,0,3,Lunch,Scooter,Downtown,0,3,37.7
10298,1.6,15,8,1,Clear,0.0,16.9,2.0,0,0,Morning,Scooter,Suburban,0,0,33.3
12340,10.5,12,6,7,Fog,0.0,5.7,0.0,0,2,Dinner,Bike,Suburban,1,1,87.7
10654,0.3,17,1,4,Fog,0.0,22.3,2.4,0,3,Morning,Scooter,Suburban,0,0,59.7
13775,2.1,8,9,6,Clear,0.0,-5.9,3.1,0,0,Dinner,Scooter,Suburban,0,3,32.8
11256,2.3,16,7,5,Rain,1.8,0.5,5.9,1,4,Dinner,Bike,Downtown,0,0,60.6
14521,4.0,24,15,3,Clear,0.0,2.1,3.5,0,0,Dinner,Bike,Downtown,1,0,62.2
10231,10.4,14,10,4,Rain,5.6,-5.4,2.8,0,1,Night,Scooter,Suburban,1,3,81.6
13277,0.6,15,10,2,Clear,0.0,12.6,2.2,0,1,Lunch,Scooter,Downtown,1,1,40.5
13231,4.7,12,12,3,Clear,0.0,18.6,4.1,1,0,Dinner,Bike,Downtown,0,1,60.0
10692,4.4,18,11,3,Clear,0.0,20.2,3.0,0,3,Afternoon,Scooter,Suburban,1,1,57.6
12755,7.0,8,15,4,Clear,0.0,16.9,4.0,0,2,Lunch,Scooter,Suburban,0,2,60.5
14864,4.3,11,2,3,Clear,0.0,20.5,3.0,0,4,Morning,Car,Suburban,0,0,49.3
10970,2.0,14,3,6,Clear,0.0,3.5,1.4,0,0,Afternoon,Scooter,Highway,0,1,36.4
10634,4.6,10,15,2,Rain,5.2,18.1,2.7,1,3,Dinner,Bike,Highway,0,3,57.3
14093,3.5,20,15,4,Clear,0.0,12.0,3.0,0,2,Afternoon,Car,Downtown,0,1,52.7
14078,1.8,16,10,3,Clear,0.0,20.0,2.9,0,1,Night,Bike,Downtown,0,0,48.8
11322,4.0,16,4,2,Clear,0.0,-9.5,1.4,1,2,Lunch,Scooter,Downtown,1,0,51.1
11832,4.7,20,4,3,Clear,0.0,16.3,1.6,0,0,Lunch,Scooter,Downtown,0,2,63.0
12179,4.0,20,3,7,Clear,0.0,18.1,3.6,1,5,Night,Bike,Highway,1,2,62.9
11418,2.3,9,8,6,Clear,0.0,-5.5,1.5,0,4,Night,Bike,Suburban,1,3,43.1
11783,6.9,12,13,7,Snow,2.3,2.5,3.4,1,6,Night,Scooter,Downtown,0,1,97.5
14716,5.4,20,7,3,Clear,0.0,6.4,2.9,0,5,Morning,Bike,Highway,0,2,60.7
